Image URL,Region,State Name,Flag Name,Additional Info,Year Added,Year Removed,green,turquoise,blue,violet,pink,red,orange,yellow,white,black
https://flaglog.com/img/turkey1844.png,Middle_East,Turkey,N/A,N/A,1844,still in use,0,0,0,0,0,93.81,0.22,0,5.97,0
https://flaglog.com/img/tunisia1831.png,Middle_East,Tunis,N/A,N/A,1831,1959,0,0,0,0,0,85.89,0.28,0,13.83,0
https://flaglog.com/img/egypt1841.png,Middle_East,Egypt,N/A,N/A,1841,1882,0,0,0,0,0,87.07,0.44,0,12.49,0
https://flaglog.com/img/jebelshammar1836.png,Middle_East,Jebel Shammar,N/A,N/A,1836,1921,0,0,0,0,0,90.08,0.77,9.15,0,0
https://flaglog.com/img/nejd1750.png,Middle_East,Nejd,N/A,N/A,1750,1891,91.62,0.09,0,0,0,0,0,0,8.28,0
https://flaglog.com/img/tripoli1727.png,Middle_East,Tripoli ,N/A," The most commonly reported flag from the period. Flags with green, white and red stripes also seem to have been used. Probably flown exclusively on ships. The Turkish flag was the official national flag.",1727,1912,94.93,0.2,0,0,0,0,0,0,4.87,0
https://flaglog.com/img/morocco1667.png,Middle_East,Morocco ,N/A, Flown over the palace in Rabat and on ships. Military flags on land were often dectorated with a yellow or green octagram.,1667,1915,0,0,0,0,0,100.0,0,0,0,0
https://flaglog.com/img/muscat1649.png,Middle_East,Muscat and Oman · Zanzibar · Bahrain ,N/A," Arab monarchies, especially those in and around the Gulf, flew plain red flags from their ships. These weren't quite ""national flags"" in the modern sense, but European powers tended to view them that way.",1649,1970,0,0,0,0,0,100.0,0,0,0,0
https://flaglog.com/img/qasimi1820.png,Middle_East,Ras al-Khaimah · Sharjah ,N/A, Officially all of the Trucial States were supposed to fly a square red flag with a thick white border. In practice this flag became exclusively associated with the Al Qasimi dynasty. The other states mostly flew plain red flags.,1820,1972,0,0,0,0,0,45.91,0,0,54.09,0
https://flaglog.com/img/madagascar1817.png,Middle_East,Madagascar,N/A,N/A,1817,1881,0,0,0,0,0,50.0,0,0,50.0,0
https://flaglog.com/img/persia1797.png,Middle_East,Persia,N/A,N/A,1797,1896,0.91,0,0,1.32,0,0.19,2.82,3.18,87.05,4.53
